"dht11Umidade";"dht11Temperatura"
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
50.0;28.6
50.0;28.6
51.0;28.7
51.0;28.7
50.0;28.6
50.0;28.6
49.0;28.6
49.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
49.0;28.6
49.0;28.6
48.0;28.6
48.0;28.6
48.0;28.6
48.0;28.6
48.0;28.6
48.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
49.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
53.0;28.6
53.0;28.6
53.0;28.6
53.0;28.6
52.0;28.6
52.0;28.6
51.0;28.6
51.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
50.0;28.6
49.0;28.6
49.0;28.6
49.0;28.5
49.0;28.5
49.0;28.5
49.0;28.5
49.0;28.5
49.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
50.0;28.5
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.4
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
49.0;28.3
51.0;28.3
51.0;28.3
51.0;28.3
51.0;28.3
