"idRegistros";"umidade";"horario";"fkSensor"
1;51.5;"";1
2;51.5;"";1
3;51.5;"";1
4;51.5;"";1
5;51.5;"";1
6;51.5;"";1
7;51.5;"";1
8;51.6;"";1
9;51.7;"";1
10;51.7;"";1
11;51.7;"";1
12;51.7;"";1
13;51.7;"";1
14;51.7;"";1
15;51.7;"";1
16;51.8;"";1
17;51.8;"";1
18;51.8;"";1
19;51.9;"";1
20;51.9;"";1
21;51.9;"";1
22;51.9;"";1
23;51.9;"";1
24;53.1;"";1
25;54.4;"";1
26;50.1;"";1
27;61.3;"";1
28;64.5;"";1
29;60.1;"";1
30;61.9;"";1
31;70.8;"";1
32;72.6;"";1
33;73.8;"";1
34;74.7;"";1
35;75.2;"";1
36;75.4;"";1
37;75.4;"";1
38;75.2;"";1
39;75.1;"";1
40;74.9;"";1
41;74.6;"";1
42;74.4;"";1
43;74.0;"";1
44;73.6;"";1
45;73.4;"";1
46;73.0;"";1
47;72.6;"";1
48;72.0;"";1
49;71.4;"";1
50;70.8;"";1
51;70.0;"";1
52;62.4;"";1
53;62.0;"";1
54;61.5;"";1
55;61.0;"";1
56;60.5;"";1
